3710.07, 3690.72, 3890.94, 3695.49, 3666.41
3690.72, 3890.94, 3695.49, 3666.41, 3692.03
3890.94, 3695.49, 3666.41, 3692.03, 3886.98
3695.49, 3666.41, 3692.03, 3886.98, 3914.10
3666.41, 3692.03, 3886.98, 3914.10, 3956.22
3692.03, 3886.98, 3914.10, 3956.22, 3953.60
3886.98, 3914.10, 3956.22, 3953.60, 4044.54
3914.10, 3956.22, 3953.60, 4044.54, 3987.77
3956.22, 3953.60, 4044.54, 3987.77, 3996.32
3953.60, 4044.54, 3987.77, 3996.32, 4043.46
4044.54, 3987.77, 3996.32, 4043.46, 4068.74
3987.77, 3996.32, 4043.46, 4068.74, 4176.37
3996.32, 4043.46, 4068.74, 4176.37, 4187.36
4043.46, 4068.74, 4176.37, 4187.36, 4223.29
4068.74, 4176.37, 4187.36, 4223.29, 4259.37
4176.37, 4187.36, 4223.29, 4259.37, 4203.55
4187.36, 4223.29, 4259.37, 4203.55, 3989.23
